Created_Date,Complaint_Type,Descriptor
2013-10-23 11:53:14,Illegal Parking,Blocked Sidewalk
2013-10-23 11:39:55,Illegal Parking,Commercial Overnight Parking
2013-10-23 11:23:38,Illegal Parking,Overnight Commercial Storage
2013-10-23 11:14:05,Illegal Parking,Blocked Sidewalk
2013-10-23 10:41:03,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 10:34:46,Illegal Parking,Posted Parking Sign Violation
2013-10-23 10:01:40,Illegal Parking,Posted Parking Sign Violation
2013-10-23 09:59:02,Illegal Parking,Double Parked Blocking Vehicle
2013-10-23 09:16:35,Illegal Parking,Posted Parking Sign Violation
2013-10-23 08:53:03,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 08:06:57,Illegal Parking,Posted Parking Sign Violation
2013-10-23 01:39:15,Illegal Parking,Blocked Sidewalk
2013-10-23 00:32:59,Illegal Parking,Blocked Hydrant
2013-10-22 22:30:07,Illegal Parking,Posted Parking Sign Violation
2013-10-22 22:14:35,Illegal Parking,Commercial Overnight Parking
2013-10-22 21:57:32,Illegal Parking,Commercial Overnight Parking
2013-10-22 21:42:40,Illegal Parking,Blocked Sidewalk
2013-10-22 21:32:22,Illegal Parking,Commercial Overnight Parking
2013-10-22 21:21:50,Illegal Parking,Blocked Sidewalk
2013-10-22 21:19:42,Illegal Parking,Blocked Sidewalk
2013-10-22 20:19:12,Illegal Parking,Posted Parking Sign Violation
2013-10-22 19:52:47,Illegal Parking,Commercial Overnight Parking
2013-10-22 19:18:00,Illegal Parking,Posted Parking Sign Violation
2013-10-22 18:55:56,Illegal Parking,Commercial Overnight Parking
2013-10-22 18:50:37,Illegal Parking,Blocked Hydrant
2013-10-22 17:45:10,Illegal Parking,Commercial Overnight Parking
2013-10-22 17:16:51,Illegal Parking,Posted Parking Sign Violation
2013-10-22 17:14:31,Illegal Parking,Commercial Overnight Parking
2013-10-22 16:25:44,Illegal Parking,Posted Parking Sign Violation
2013-10-22 16:22:17,Illegal Parking,Blocked Sidewalk
2013-10-22 15:22:11,Illegal Parking,Posted Parking Sign Violation
2013-10-22 14:50:21,Illegal Parking,Posted Parking Sign Violation
2013-10-22 13:51:27,Illegal Parking,Posted Parking Sign Violation
2013-10-22 12:48:12,Illegal Parking,Blocked Sidewalk
2013-10-22 12:46:01,Illegal Parking,Posted Parking Sign Violation
2013-10-22 12:27:05,Illegal Parking,Posted Parking Sign Violation
2013-10-22 12:23:09,Illegal Parking,Posted Parking Sign Violation
2013-10-22 12:14:06,Illegal Parking,Blocked Hydrant
2013-10-22 12:03:55,Illegal Parking,Double Parked Blocking Traffic
2013-10-22 11:34:38,Illegal Parking,Blocked Sidewalk
2013-10-22 10:39:28,Illegal Parking,Posted Parking Sign Violation
2013-10-22 09:56:19,Illegal Parking,Blocked Sidewalk
2013-10-22 09:41:36,Illegal Parking,Posted Parking Sign Violation
2013-10-22 07:41:30,Illegal Parking,Double Parked Blocking Traffic
2013-10-22 07:21:17,Illegal Parking,Blocked Hydrant
2013-10-22 07:01:35,Illegal Parking,Blocked Hydrant
2013-10-22 06:47:02,Illegal Parking,Blocked Hydrant
2013-10-22 01:06:08,Illegal Parking,Commercial Overnight Parking
2013-10-22 00:06:10,Illegal Parking,Blocked Hydrant
2013-10-21 22:36:39,Illegal Parking,Blocked Hydrant
2013-10-21 22:28:20,Illegal Parking,Detached Trailer
2013-10-21 22:20:46,Illegal Parking,Commercial Overnight Parking
2013-10-21 22:06:53,Illegal Parking,Blocked Hydrant
2013-10-21 21:55:08,Illegal Parking,Posted Parking Sign Violation
2013-10-21 21:46:50,Illegal Parking,Blocked Hydrant
2013-10-21 21:11:56,Illegal Parking,Double Parked Blocking Vehicle
2013-10-21 21:03:34,Illegal Parking,Blocked Hydrant
2013-10-21 20:58:17,Illegal Parking,Commercial Overnight Parking
2013-10-21 20:43:42,Illegal Parking,Posted Parking Sign Violation
2013-10-21 19:59:04,Illegal Parking,Blocked Sidewalk
2013-10-21 19:44:40,Illegal Parking,Posted Parking Sign Violation
2013-10-21 19:43:58,Illegal Parking,Blocked Hydrant
2013-10-21 19:36:13,Illegal Parking,Commercial Overnight Parking
2013-10-21 19:30:20,Illegal Parking,Blocked Sidewalk
2013-10-21 19:17:08,Illegal Parking,Commercial Overnight Parking
2013-10-21 18:51:25,Illegal Parking,Blocked Sidewalk
2013-10-21 18:50:19,Illegal Parking,Double Parked Blocking Traffic
2013-10-21 18:13:34,Illegal Parking,Blocked Hydrant
2013-10-21 17:24:02,Illegal Parking,Commercial Overnight Parking
2013-10-21 15:51:17,Illegal Parking,Blocked Sidewalk
2013-10-21 15:47:52,Illegal Parking,Blocked Sidewalk
2013-10-21 15:28:44,Illegal Parking,Posted Parking Sign Violation
2013-10-21 15:14:51,Illegal Parking,Blocked Hydrant
2013-10-21 14:37:23,Illegal Parking,Posted Parking Sign Violation
2013-10-21 11:41:22,Illegal Parking,Double Parked Blocking Traffic
2013-10-21 10:44:10,Illegal Parking,Posted Parking Sign Violation
2013-10-21 10:19:41,Illegal Parking,Posted Parking Sign Violation
2013-10-21 10:09:53,Illegal Parking,Posted Parking Sign Violation
2013-10-21 09:29:43,Illegal Parking,Blocked Hydrant
2013-10-21 09:23:18,Illegal Parking,Overnight Commercial Storage
2013-10-21 09:03:49,Illegal Parking,Posted Parking Sign Violation
2013-10-21 08:34:08,Illegal Parking,Posted Parking Sign Violation
2013-10-21 07:43:35,Illegal Parking,Posted Parking Sign Violation
2013-10-21 07:10:03,Illegal Parking,Blocked Sidewalk
2013-10-21 05:59:16,Illegal Parking,Blocked Hydrant
2013-10-21 00:12:01,Illegal Parking,Blocked Hydrant
2013-10-20 22:46:01,Illegal Parking,Blocked Hydrant
2013-10-20 21:32:39,Illegal Parking,Blocked Hydrant
2013-10-20 21:29:18,Illegal Parking,Overnight Commercial Storage
2013-10-20 21:24:10,Illegal Parking,Posted Parking Sign Violation
2013-10-20 21:08:08,Illegal Parking,Commercial Overnight Parking
2013-10-20 20:55:19,Illegal Parking,Blocked Hydrant
2013-10-20 20:44:15,Illegal Parking,Commercial Overnight Parking
2013-10-20 20:26:26,Illegal Parking,Commercial Overnight Parking
2013-10-20 20:15:50,Illegal Parking,Blocked Hydrant
2013-10-20 20:10:22,Illegal Parking,Posted Parking Sign Violation
2013-10-20 20:06:26,Illegal Parking,Double Parked Blocking Traffic
2013-10-20 19:48:45,Illegal Parking,Blocked Sidewalk
2013-10-20 18:42:53,Illegal Parking,Blocked Hydrant
2013-10-20 17:53:22,Illegal Parking,Blocked Hydrant
2013-10-20 17:42:51,Illegal Parking,Double Parked Blocking Traffic
2013-10-20 17:40:35,Illegal Parking,Blocked Sidewalk
2013-10-20 17:01:43,Illegal Parking,Commercial Overnight Parking
2013-10-20 16:00:23,Illegal Parking,Blocked Sidewalk
2013-10-20 15:50:21,Illegal Parking,Posted Parking Sign Violation
2013-10-20 15:37:35,Illegal Parking,Blocked Hydrant
2013-10-20 15:29:55,Illegal Parking,Posted Parking Sign Violation
2013-10-20 13:50:30,Illegal Parking,Posted Parking Sign Violation
2013-10-20 13:22:22,Illegal Parking,Blocked Sidewalk
2013-10-20 13:15:42,Illegal Parking,Posted Parking Sign Violation
2013-10-20 12:59:01,Illegal Parking,Commercial Overnight Parking
2013-10-20 11:47:37,Illegal Parking,Commercial Overnight Parking
2013-10-20 11:24:54,Illegal Parking,Blocked Sidewalk
2013-10-20 10:21:57,Illegal Parking,Blocked Sidewalk
2013-10-20 10:14:22,Illegal Parking,Double Parked Blocking Vehicle
2013-10-20 09:33:24,Illegal Parking,Commercial Overnight Parking
2013-10-20 09:31:20,Illegal Parking,Commercial Overnight Parking
2013-10-20 08:09:27,Illegal Parking,Blocked Hydrant
2013-10-20 07:09:31,Illegal Parking,Commercial Overnight Parking
2013-10-20 07:07:41,Illegal Parking,Blocked Sidewalk
2013-10-20 01:13:18,Illegal Parking,Blocked Hydrant
2013-10-19 23:51:59,Illegal Parking,Blocked Hydrant
